model,question_id,score
WildLlama,135,7.0
WildLlama,136,4.333333333333333
WildLlama,137,5.0
WildLlama,138,7.0
WildLlama,139,2.0
WildLlama,140,1.3333333333333333
WildLlama,141,9.0
WildLlama,142,7.833333333333333
WildLlama,143,6.0
WildLlama,144,6.333333333333333
WildLlama,145,6.0
WildLlama,146,9.666666666666666
WildLlama,147,8.666666666666666
WildLlama,148,9.666666666666666
WildLlama,149,10.0
WildLlama,150,10.0
WildLlama,151,9.666666666666666
WildLlama,152,9.666666666666666
WildLlama,153,9.333333333333334
WildLlama,154,10.0
WildLlama,155,10.0
WildLlama,156,10.0
WildLlama,157,9.666666666666666
WildLlama,158,10.0
WildLlama,159,10.0
WildLlama,160,9.5
